Phrase,IPA,ES Pronunciation,ES Translation,Island
I like apples.,/aɪ laɪk ˈæpəlz/,ai laik apols.,Me gustan las manzanas.,01 hundred / apples
I do not like apples.,/aɪ dʌ nɒt laɪk ˈæpəlz/,ai da not laik apols.,No me gustan las manzanas.,01 hundred / apples
Do you like apples?,/duː juː laɪk ˈæpəlz/,du yu laik apols?,¿Te gustan las manzanas?,01 hundred / apples
Why do you like apples?,/waɪ duː juː laɪk ˈæpəlz/,uai du yu laik apols?,¿Por qué te gustan las manzanas?,01 hundred / apples
I liked apples.,/aɪ laɪkt ˈæpəlz/,ai laikt apols.,Me gustaban las manzanas.,01 hundred / apples
You are my friend.,/juː ɑː maɪ frɛnd/,yu ar mai frend.,Tú eres mi amigo.,01 hundred / apples
He is tall.,/hiː ɪz tɔːl/,ji iz tol.,Él es alto.,01 hundred / apples
She is happy.,/ʃiː ɪz ˈhæpi/,shi iz japi.,Ella está feliz.,01 hundred / apples
We go home.,/wiː gəʊ həʊm/,ui gou jom.,Nosotros vamos a casa.,01 hundred / apples
You are here.,/juː ɑː hɪə/,yu ar jia.,Ustedes están aquí.,01 hundred / apples
You are not here.,/juː ɑː nɒt hɪə/,yu ar not jia.,Ustedes no están aquí.,01 hundred / apples
Are you here?,/ɑː juː hɪə/,ar yu jia?,¿Están ustedes aquí?,01 hundred / apples
Where are you?,/wɛər ɑː juː/,uer ar yu?,¿Dónde están ustedes?,01 hundred / apples
You were here.,/juː wɜː hɪə/,yu wer jia.,Ustedes estuvieron aquí.,01 hundred / apples
They play football.,/ðeɪ pleɪ ˈfʊtbɔːl/,dei plei fútbol.,Ellos juegan al fútbol.,01 hundred / apples
They read books.,/ðeɪ riːd bʊks/,dei rid buks.,Ellas leen libros.,01 hundred / apples
"Hello, my friend.",/həˈləʊ maɪ frɛnd/,jelou mai frend.,"Hola, mi amigo.",01 hundred / apples
"Hello, sir.",/həˈləʊ sɜː/,jelou ser.,"Hola, señor.",01 hundred / apples
"Good morning, mom.",/ɡʊd ˈmɔːnɪŋ mɒm/,gud morning mom.,"Buenos días, mamá.",01 hundred / apples
"Good afternoon, sir.",/ɡʊd ˌɑːftəˈnuːn sɜː/,gud áfternun ser.,"Buenas tardes, señor.",01 hundred / apples
"Good evening, dad.",/ɡʊd ˈiːvnɪŋ dæd/,gud ivning dad.,"Buenas noches, papá.",01 hundred / apples
I say hello to him.,/aɪ seɪ həˈləʊ tuː hɪm/,ai sei jelou tu jim.,Le digo hola.,01 hundred / apples
"Hi, how are you?",/haɪ haʊ ɑː juː/,jai jau ar yu?,"Hola, ¿cómo estás?",01 hundred / apples
This is my greeting.,/ðɪs ɪz maɪ ˈɡriːtɪŋ/,dis iz mai griting.,Este es mi saludo.,01 hundred / apples
She greets the dog.,/ʃiː ɡriːts ðə dɒɡ/,shi grits de dog.,Ella saluda al perro.,01 hundred / apples
How are you today?,/haʊ ɑː juː təˈdeɪ/,jau ar yu tudei?,¿Cómo estás hoy?,01 hundred / apples
"How are you, sir?",/haʊ ɑː juː sɜː/,jau ar yu ser?,"¿Cómo está usted, señor?",01 hundred / apples
What is new with you?,/wɒt ɪz njuː wɪð juː/,guot is niu wid yu?,¿Qué hay de nuevo?,01 hundred / apples
"Goodbye, teacher.",/ˌɡʊdˈbaɪ ˈtiːtʃə/,gudbai ticher.,"Adiós, profesor.",01 hundred / apples
"Bye, see you later.",/baɪ siː juː ˈleɪtə/,bai si yu leiter.,"Adiós, hasta luego.",01 hundred / apples
I see you soon.,/aɪ siː juː suːn/,ai si yu sun.,Te veo pronto.,01 hundred / apples
"Farewell, old friend.",/ˌfɛəˈwɛl əʊld frɛnd/,fauer uold frend.,"Adiós, viejo amigo.",01 hundred / apples
Thank you for the help.,/θæŋk juː fɔː ðə hɛlp/,zank yu for de jelp.,Gracias por la ayuda.,01 hundred / apples
I say thank you very much.,/aɪ seɪ θæŋk juː vɛri mʌtʃ/,ai sei zank yu veri mach.,Digo muchas gracias.,01 hundred / apples
