Phrase,IPA,ES Pronunciation,ES Translation
You are here.,/juː ɑː hɪə/,yu ar jia.,Ustedes están aquí.
I like apples.,/aɪ laɪk ˈæpəlz/,ai laik apols.,Me gustan las manzanas.
I am very hungry.,/aɪ æm ˈvɛri ˈhʌŋgri/,ai am beri jangri,Tengo mucha hambre.
The rest is here.,/ðə rɛst ɪz hɪə/,de rest is jier,El resto está aquí.
You are welcome here.,/juː ɑː ˈwɛlkəm hɪə/,yu ar welkom jir.,Eres bienvenido aquí.
I am very thirsty today.,/aɪ ɛm ˈvɛri ˈθɜːrsti ˈtədeɪ/,ai em veri zirsti tudei.,Tengo mucha sed hoy.
I see one dog.,/aɪ siː wʌn dɒg/,ai si uan dog.,Veo un perro.
He has eleven books.,/hiː hæz ɪˈlɛvən bʊks/,ji jav ileven buks.,Él tiene once libros.
She has seventeen cats.,/ʃiː hæz ˌsɛvənˈtiːn kæts/,shi jav seventin cats.,Ella tiene diecisiete gatos.
He has sixty students.,/hiː hæz ˈsɪksti ˈstjuːdənts/,ji jav sikti students.,Él tiene sesenta estudiantes.
She has lunch.,/ʃiː hæz lʌntʃ/,shi jas lanch.,Ella almuerza.
I see the big sun.,/aɪ siː ðə bɪg sʌn/,ai si de big san.,Veo el gran sol.
I like this blue.,/aɪ laɪk ðɪs bluː/,ai laik dis blu.,Me gusta este azul.
I have a car.,/aɪ hæv ə kɑː/,ai jav a car.,Tengo un coche.
I like this song.,/aɪ laɪk ðɪs sɒŋ/,ai laik dis song.,Me gusta esta canción.
I like this color.,/aɪ laɪk ðɪs ˈkʌlər/,ai laik dis color.,Me gusta este color.
I love you very much.,/aɪ lʌv juː vɛri mʌtʃ/,ai lav yu beri mach.,Te quiero mucho.
I do my work.,/aɪ duː maɪ wɜːk/,ai du mai uork.,Hago mi trabajo.
I go home.,/aɪ ɡəʊ həʊm/,ai go jom.,Voy a casa.
I like to swim in the pool.,/aɪ laɪk tuː swɪm ɪn ðə puːl/,ai laik tu suim in de pul.,Me gusta nadar en la piscina.
He is here for good.,/hiː ɪz hɪər fər gʊd/,ji is jir for gud,Él está aquí para siempre.
I see nothing here.,/aɪ siː ˈnʌθɪŋ hɪə/,ai si nazing jier.,No veo nada aquí.
I like Friday.,/aɪ laɪk ˈfraɪdeɪ/,ai laik fraidei.,Me gusta el viernes.
I am very happy today.,/aɪ æm ˈvɛri ˈhæpi təˈdeɪ/,ai am veri japi tudei,Hoy estoy muy feliz.
I know that you are here.,/aɪ noʊ ðæt juː ɑːr hɪər/,ai nou dat yu ar jir,Sé que estás aquí.
She is here too.,/ʃiː ɪz hɪə tuː/,shi is jier tu.,Ella también está aquí.
It is exactly here.,/ɪt ɪz ɪɡˈzæktli hɪə/,it is exaktli jier.,Está justo aquí.
The weekend is here.,/ðə ˈwiːkɛnd ɪz hɪə/,de uikend is jia.,El fin de semana ha llegado.
It is a good day.,/ɪt ɪz ə gʊd deɪ/,it is a gud dei.,Es un buen día.
We go there today.,/wiː gəʊ ðeə təˈdeɪ/,ui gou der tudei.,Vamos allí hoy.
The car is very fast.,/ðə kɑːr ɪz ˈvɛri fæst/,de car is very fast.,El coche es muy rápido.
It is a big box.,/ɪt ɪz ə bɪɡ bɑːks/,it is a big boks.,Es una caja grande.
It is very early.,/ɪt ɪz ˈvɛːri ˈɜːrli/,it is veri erli.,Es muy temprano.
